"effort","t01","t02","t03","t04","t05","t06","t07","t08","t09","t10","t11","t12","t13","t14","t15","size","nlan","app","har"
5931,"high","medium","low","medium","medium","medium","medium","medium","high","medium","high","high","high","medium","medium",1526,4,"InfServ","Mainfrm"
4456,"low","medium","medium","medium","medium","medium","high","low","high","medium","high","high","low","medium","medium",575,2,"CustServ","Multi"
3600,"low","medium","medium","high","medium","medium","medium","high","high","medium","low","high","high","low","medium",509,1,"TransPro","Mainfrm"
4557,"low","high","high","low","medium","medium","low","medium","low","low","low","high","high","medium","medium",583,3,"MIS","Mainfrm"
8752,"high","medium","high","medium","medium","medium","high","very high","high","medium","medium","high","medium","medium","medium",315,2,"CustServ","Mainfrm"
3440,"medium","high","high","medium","medium","medium","medium","medium","high","high","low","high","high","medium","medium",138,2,"CustServ","Mainfrm"
1981,"medium","high","medium","medium","medium","medium","medium","high","high","high","high","high","high","high","medium",257,3,"TransPro","Multi"
13700,"low","medium","medium","low","low","low","high","very high","high","medium","medium","high","high","low","medium",123,1,"TransPro","Mainfrm"
7105,"high","low","high","medium","medium","medium","medium","medium","very high","medium","medium","high","medium","high","high",495,3,"MIS","Network"
6816,"low","medium","medium","high","medium","medium","medium","high","high","medium","high","medium","low","high","medium",622,4,"CustServ","Multi"
4620,"medium","medium","medium","medium","medium","high","high","very high","very high","very high","very high","high","medium","low","medium",204,2,"InfServ","Mainfrm"
7451,"low","medium","low","medium","medium","low","medium","very high","very high","high","very high","very high","low","high","high",616,4,"CustServ","Multi"
39479,"low","high","medium","medium","medium","medium","high","medium","very high","very high","very high","high","high","high","high",3634,3,"CustServ","Multi"
